@@,name,position
->,Vittorio Colao,ministro per l'innovazione tecnologica e la digitalizzazione della Repubblica Italiana->Ministro per l’innovazione tecnologica e la transizione digitale
->,Stefano Patuanelli,ministro delle politiche agricole alimentari e forestali della Repubblica Italiana->Ministro delle Politiche Agricole Alimentari e Forestali
->,Roberto Speranza,ministro della salute della Repubblica Italiana->Ministro della Salute
->,Renato Brunetta,ministro per la pubblica amministrazione della Repubblica Italiana->Ministro per la Pubblica Amministrazione
->,Patrizio Bianchi,ministro della pubblica istruzione della Repubblica Italiana->Ministro dell'Istruzione
->,Massimo Garavaglia,ministro per il turismo della Repubblica Italiana->Ministro del Turismo
->,Marta Cartabia,ministro della giustizia della Repubblica Italiana->Ministro della Giustizia
->,Mario Draghi,presidente del Consiglio dei ministri della Repubblica Italiana->Presidente del Consiglio dei Ministri
->,Mariastella Gelmini,ministro per gli affari regionali e le autonomie della Repubblica Italiana->Ministro per gli Affari regionali e le Autonomie
->,Maria Cristina Messa,ministro dell'università e della ricerca scientifica e tecnologica della Repubblica Italiana->Ministro dell'Università e della Ricerca
->,Luigi Di Maio,ministro degli esteri della Repubblica Italiana->Ministro degli Affari Esteri e della Cooperazione Internazionale
->,Luciana Lamorgese,ministro dell'interno della Repubblica Italiana->Ministro dell'Interno
->,Lorenzo Guerini,ministro della difesa della Repubblica Italiana->Ministro della Difesa
->,Giancarlo Giorgetti,ministro dello sviluppo economico della Repubblica Italiana->Ministro dello Sviluppo Economico
->,Fabiana Dadone,ministro per le politiche giovanili della Repubblica Italiana->Ministro per le Politiche giovanili
->,Enrico Giovannini,ministro delle infrastrutture della Repubblica Italiana->Ministro delle Infrastrutture e della Mobilità Sostenibili
->,Elena Bonetti,ministro per le pari opportunità della Repubblica Italiana->Ministro per le Pari Opportunità e la Famiglia
->,Dario Franceschini,ministro dei beni e delle attività culturali e del turismo della Repubblica Italiana->Ministro della Cultura
->,Daniele Franco,ministro dell'economia e delle finanze della Repubblica Italiana->Ministro dell'Economia e delle Finanze
->,Andrea Orlando,ministro del lavoro e delle politiche sociali della Repubblica Italiana->Ministro del Lavoro e delle Politiche Sociali
---,Mara Carfagna,ministro per il Sud e la coesione territoriale della Repubblica Italiana
---,Giuseppe Conte,"ministro dell'istruzione, dell'università e della ricerca della Repubblica Italiana"
---,Federico D'Incà,ministro per i rapporti con il Parlamento della Repubblica Italiana
+++,Roberto Cingolani,Ministro della Transizione Ecologica
+++,Maria Rosaria Carfagna,Ministro per il Sud e la Coesione territoriale
+++,Federico D’Incà,Ministro per i Rapporti con il Parlamento
+++,Erika Stefani,Ministro per le disabilità
