pageid,title
1765094,Renato Brunetta
1769084,Nicola Zingaretti
1802637,Nello Musumeci
3021224,Valentina Vezzali
3052686,Claudio Scajola
3557692,Mario Draghi
4151865,Benedetto Della Vedova
4520042,Luca Zaia
4521203,Giancarlo Giorgetti
7817731,Bruno Tabacci
11612863,Enrico Giovannini
13947321,Sergio Mattarella
17338329,Mara Carfagna
17634671,Vittorio Colao
17748717,Mariastella Gelmini
21643665,Dario Franceschini
23580967,Deborah Bergamini
29247662,Elisabetta Casellati
31162122,Enrico Rossi (politician)
33477550,Ignazio Visco
35912339,Franco Gabrielli
39366839,Marina Sereni
40523305,Andrea Orlando
40914013,Arno Kompatscher
41972667,Luigi Di Maio
42172149,Attilio Fontana
42185631,Gian Marco Centinaio
42654004,Lorenzo Guerini
45257173,Marta Cartabia
45372554,Stefano Bonaccini
46710989,Massimiliano Fedriga
47420911,Giovanni Toti
47731935,Vincenzo De Luca
48599816,Michele Emiliano
51309369,Roberto Fico
53896730,Roberto Speranza
54287856,Sergio Abramo
54585645,Giuseppe Cavo Dragone
57594643,Erika Stefani
58578082,Pierpaolo Sileri
58870546,Donato Toma
59915359,Marco Marsilio
60056093,Christian Solinas
60312179,Michele De Pascale
60334082,Vito Bardi
60784351,Massimo Garavaglia
60808783,Pierluigi Peracchini
60905592,Alberto Cirio
61691289,Stefano Patuanelli
61692527,Luciana Lamorgese
61701984,Fabiana Dadone
61867106,Lucia Borgonzoni
62152797,Elena Bonetti
62173413,Donatella Tesei
62716930,Federico D'Incà
62717217,Vincenzo Amendola
64381753,Francesco Rucco
65403095,Sandro Parcaroli
65606818,Erik Lavévaz
65960010,Manlio Di Stefano
66732465,Patrizio Bianchi
66739305,Daniele Franco
66740104,Roberto Cingolani
66741838,Maria Cristina Messa
66749007,Roberto Garofoli
66831647,Alberto Rosso
66954047,Giuseppe Moles
68437235,Enzo Lattuca
69663057,Tiziana Nisini
70391381,Simona Malpezzi
70632498,Barbara Floridia
